Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
info_sheet,info,,text,Please read the information sheet before proceeding.,,,,,,,,,,,,,
info_irb,info,,descriptive,,,,,,,,,,,,,,
prolific_id,info,,text,Please enter your Prolific ID,,,,,,y,,y,,,,,
apath01_apath_00_preamble,apath01,,descriptive,"For each question, select the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",,,,,,,,,,,,,
apath01_apath_01,apath01,,radio,I am interested in things,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_02,apath01,,radio,I get things done during the day,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_03,apath01,,radio,Getting things started on my own is important to me,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_04,apath01,,radio,Seeing a job through to the end is important to me,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_05,apath01,,radio,I spend time doing things that interest me,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_06,apath01,,radio,Getting things done during the day is important to me,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_07,apath01,,radio,I have motivation,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_08,apath01,,radio,I am interested in having new experiences,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_09,apath01,,radio,I am interested in learning new things,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_10,apath01,,radio,I put little effort into anything,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_11,apath01,,radio,I approach life with intensity,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_12,apath01,,radio,Someone has to tell me what to do each day,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_13,apath01,,radio,I am less concerned about my problems than I should be,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_14,apath01,,radio,I have friends,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_15,apath01,,radio,Getting together with friends is important to me,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_16,apath01,,radio,"When something good happens, I get excited","1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_17,apath01,,radio,I have an accurate understanding of my problems,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
apath01_apath_18,apath01,,radio,I have initiative,"1, Very true | 2, Somewhat true | 3, Slightly true | 4, Not at all true",,,,,,,y,,,,,
bisbas01_bisbas0_preamble,bisbas01,,descriptive,"Each item of this questionnaire is a statement that a person may either agree with or disagree with. For each item, indicate how much you agree or disagree with what the item says. Please respond to all the items; do not leave any blank. Choose only one response to each statement. Please be as accurate and honest as you can be. Respond to each item as if it were the only item. That is, don't worry about being consistent in your responses. Choose from the following four response options:",,,,,,,,,,,,,
bisbas01_bisbas1,bisbas01,,radio,A person's family is the most important thing in life.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas2,bisbas01,,radio,"Even if something bad is about to happen to me, I rarely experience fear or nervousness.","1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas3,bisbas01,,radio,I go out of my way to get things I want.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas4,bisbas01,,radio,When I'm doing well at something I love to keep at it.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas5,bisbas01,,radio,I'm always willing to try something new if I think it will be fun.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas6,bisbas01,,radio,How I dress is important to me.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas7,bisbas01,,radio,"When I get something I want, I feel excited and energized.","1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas8,bisbas01,,radio,Criticism or scolding hurts me quite a bit.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas9,bisbas01,,radio,When I want something I usually go all-out to get it.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas10,bisbas01,,radio,I will often do things for no other reason than that they might be fun.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas11,bisbas01,,radio,It's hard for me to find the time to do things such as get a haircut.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas12,bisbas01,,radio,If I see a chance to get something I want I move on it right away.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas13,bisbas01,,radio,I feel pretty worried or upset when I think or know somebody is angry at me.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas14,bisbas01,,radio,When I see an opportunity for something I like I get excited right away.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas15,bisbas01,,radio,I often act spur of the moment.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas16,bisbas01,,radio,If I think something unpleasant is going to happen I usually get pretty worked up.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas17,bisbas01,,radio,I often wonder why people act the way they do.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas18,bisbas01,,radio,"When good things happen to me, it affects me strongly.","1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas19,bisbas01,,radio,I feel worried when I think I have done poorly at something important.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas20,bisbas01,,radio,I crave excitement and new sensations.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas21,bisbas01,,radio,When I go after something I use a no holds barred approach.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas22,bisbas01,,radio,I have very few fears compared to my friends.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas23,bisbas01,,radio,It would excite me to win a contest.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
bisbas01_bisbas24,bisbas01,,radio,I worry about making mistakes.,"1, Very true for me | 2, Somewhat true for me | 3, Somewhat false for me | 4, Very false for me",,,,,,,y,,,,,
rcads01_rcads_0_preamble,rcads01,,descriptive,Please select the word that shows how often each of these things happens to you. There are no right or wrong answers,,,,,,,,,,,,,
rcads01_rcads_1,rcads01,,radio,I worry about things,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_2,rcads01,,radio,I feel sad or empty,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_3,rcads01,,radio,"When I have a problem, I get a funny feeling in my stomach","1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_4,rcads01,,radio,I worry when I think I have done poorly at something,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_5,rcads01,,radio,I would feel afraid of being on my own at home,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_6,rcads01,,radio,Nothing is much fun anymore,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_7,rcads01,,radio,I feel scared when I have to take a test,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_8,rcads01,,radio,I feel worried when I think someone is angry with me,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_9,rcads01,,radio,I worry about being away from my parents,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_10,rcads01,,radio,I get bothered by bad or silly thoughts or pictures in my mind,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_11,rcads01,,radio,I have trouble sleeping,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_12,rcads01,,radio,I worry that I will do badly at my school work,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_13,rcads01,,radio,I worry that something awful will happen to someone in my family,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_14,rcads01,,radio,I suddenly feel as if I can't breathe when there is no reason for this,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_15,rcads01,,radio,I have problems with my appetite,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_16,rcads01,,radio,"I have to keep checking that I have done things right (like the switch is off, or the door is locked)","1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_17,rcads01,,radio,I feel scared if I have to sleep on my own,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_18,rcads01,,radio,I have trouble going to school in the mornings because I feel nervous or afraid,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_19,rcads01,,radio,I have no energy for things,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_20,rcads01,,radio,I worry I might look foolish,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_21,rcads01,,radio,I am tired a lot,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_22,rcads01,,radio,I worry that bad things will happen to me,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_23,rcads01,,radio,I can't seem to get bad or silly thoughts out of my head.,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_24,rcads01,,radio,"When I have a problem, my heart beats really fast","1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_25,rcads01,,radio,I cannot think clearly,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_26,rcads01,,radio,I suddenly start to tremble or shake when there is no reason for this,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_27,rcads01,,radio,I worry that something bad will happen to me,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_28,rcads01,,radio,"When I have a problem, I feel shaky","1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_29,rcads01,,radio,I feel worthless,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_30,rcads01,,radio,I worry about making mistakes,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_31,rcads01,,radio,I have to think of special thoughts (like numbers or words) to stop bad things from happening.,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_32,rcads01,,radio,I worry what other people think of me,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_33,rcads01,,radio,"I am afraid of being in crowded places (like shopping centers, the movies, buses, busy playgrounds)","1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_34,rcads01,,radio,All of a sudden I feel really scared for no reason at all,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_35,rcads01,,radio,I worry about what is going to happen,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_36,rcads01,,radio,I suddenly become dizzy or faint when there is no reason for this,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_37,rcads01,,radio,I think about death,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_38,rcads01,,radio,I feel afraid if I have to talk in front of my class,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_39,rcads01,,radio,My heart suddenly starts to beat too quickly for no reason,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
